StudentID,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance
1188,4,89,No,7,1,Good
1189,3,91,No,5,6,Good
1190,3,65,No,4,4,Poor
1191,3,65,No,7,8,Poor
1192,4,93,No,9,4,Good
1193,7,58,No,4,7,Poor
1194,4,48,No,5,1,Poor
1195,9,59,Yes,8,2,Average
1196,1,81,Yes,7,5,Average
1197,8,84,No,5,6,Good
1198,7,89,No,4,9,Good
1199,2,55,Yes,6,7,Poor
1200,8,93,No,7,2,Distinction
1201,1,56,Yes,4,6,Poor
1202,9,61,Yes,4,7,Average
1203,9,52,No,5,9,Poor
1204,2,51,No,4,5,Poor
1205,7,49,Yes,7,3,Poor
1206,3,40,Yes,9,5,Poor
1207,7,71,No,7,8,Average
1208,9,69,No,4,2,Average
1209,4,47,Yes,5,1,Poor
1210,1,60,Yes,7,4,Poor
1211,2,61,Yes,6,6,Poor
1212,1,57,No,9,2,Poor
1213,5,41,No,8,4,Poor
1214,5,87,No,5,3,Good
1215,7,83,Yes,5,6,Good
1216,9,48,Yes,8,1,Poor
1217,9,42,No,8,6,Poor
1218,3,93,Yes,7,1,Good
1219,3,65,Yes,4,2,Poor
1220,3,60,Yes,4,4,Poor
1221,4,69,Yes,6,6,Average
1222,8,67,Yes,9,5,Average
1223,6,75,No,4,6,Average
1224,8,65,No,6,5,Average
1225,1,73,No,6,0,Poor
1226,8,47,No,5,4,Poor
1227,4,49,No,5,0,Poor
1228,1,87,Yes,9,6,Average
1229,8,94,Yes,7,3,Distinction
1230,4,82,Yes,8,4,Average
1231,6,89,No,8,0,Good
1232,8,93,Yes,9,7,Distinction
1233,4,53,Yes,6,3,Poor
1234,3,79,Yes,9,2,Average
1235,9,94,No,8,0,Distinction
1236,3,54,Yes,6,3,Poor
1237,9,56,Yes,8,2,Average
1238,2,92,No,7,7,Good
1239,2,57,No,5,8,Poor
1240,2,71,Yes,5,4,Poor
1241,6,77,No,6,8,Average
1242,3,62,Yes,9,0,Poor
1243,9,85,No,8,6,Good
1244,4,62,Yes,4,6,Poor
1245,1,74,Yes,7,5,Poor
1246,4,78,No,8,3,Average
1247,1,54,No,4,8,Poor
1248,5,92,No,7,2,Good
1249,4,63,No,7,0,Poor
1250,8,67,Yes,5,1,Average
1251,8,55,No,6,2,Poor
1252,7,55,Yes,8,1,Poor
1253,3,79,Yes,7,5,Average
1254,1,78,Yes,8,6,Average
1255,1,45,No,7,4,Poor
1256,3,41,Yes,9,4,Poor
1257,6,93,Yes,5,6,Good
1258,7,52,No,6,5,Poor
1259,6,83,Yes,4,7,Good
1260,6,86,Yes,4,8,Good
1261,6,98,Yes,9,1,Distinction
1262,3,48,No,5,1,Poor
1263,6,73,Yes,7,0,Average
1264,8,56,Yes,5,6,Average
1265,2,66,Yes,6,3,Poor
1266,5,68,No,4,8,Average
1267,1,76,No,8,5,Average
1268,1,82,No,4,6,Average
1269,5,61,Yes,6,6,Poor
1270,3,90,Yes,7,7,Good
1271,4,63,Yes,5,3,Poor
1272,3,46,Yes,4,2,Poor
1273,1,73,Yes,4,2,Poor
1274,1,87,No,8,9,Average
1275,5,51,Yes,5,7,Poor
1276,6,62,Yes,8,2,Poor
1277,3,54,No,8,7,Poor
1278,9,72,No,7,1,Good
1279,5,96,Yes,4,4,Good
1280,8,52,No,9,4,Poor
1281,1,62,No,5,6,Poor
1282,5,77,No,7,4,Average
1283,3,71,Yes,9,8,Average
1284,1,84,No,7,2,Average
1285,4,89,Yes,7,8,Good
1286,5,74,No,6,0,Average
1287,7,40,Yes,6,2,Poor
1288,1,86,Yes,7,3,Average
1289,3,97,Yes,6,5,Good
1290,2,84,No,5,9,Average
1291,9,44,No,4,7,Poor
1292,6,96,No,9,6,Distinction
1293,3,52,Yes,5,7,Poor
1294,8,93,No,4,5,Distinction
1295,8,44,No,6,5,Poor
1296,2,99,Yes,9,5,Good
1297,6,71,No,5,2,Average
1298,7,90,Yes,8,9,Good
1299,2,60,No,7,3,Poor
1300,2,63,Yes,4,5,Poor
1301,1,99,Yes,4,6,Good
1302,8,57,No,8,2,Average
1303,1,60,Yes,8,3,Poor
1304,9,93,No,7,5,Distinction
1305,6,49,No,6,0,Poor
1306,7,63,No,5,6,Average
1307,7,79,No,5,0,Average
1308,3,86,Yes,5,9,Average
1309,2,60,Yes,6,8,Poor
1310,9,64,Yes,7,9,Average
1311,8,91,No,5,8,Distinction
1312,7,99,No,4,8,Distinction
1313,9,96,Yes,4,3,Distinction
1314,4,98,Yes,4,1,Good
1315,4,62,No,8,6,Poor
1316,1,61,No,8,3,Poor
1317,8,43,No,6,4,Poor
1318,3,73,Yes,5,0,Average
1319,7,95,No,8,9,Distinction
1320,2,45,Yes,4,5,Poor
1321,2,67,No,8,6,Poor
1322,7,70,Yes,4,2,Average
1323,6,74,No,5,9,Average
1324,3,78,Yes,6,1,Average
1325,9,81,Yes,7,9,Good
1326,6,62,Yes,7,6,Average
1327,6,45,No,4,0,Poor
1328,1,55,Yes,8,1,Poor
1329,4,41,Yes,8,2,Poor
1330,6,63,No,4,3,Average
1331,6,56,Yes,5,4,Poor
1332,5,84,Yes,4,3,Good
1333,1,40,No,5,9,Poor
1334,8,45,Yes,6,2,Poor
1335,5,44,No,6,0,Poor
1336,5,96,Yes,4,6,Good
1337,7,84,No,6,9,Good
1338,4,99,Yes,8,5,Distinction
1339,6,94,Yes,5,1,Good
1340,4,89,Yes,7,1,Good
1341,3,68,No,7,2,Average
1342,7,51,Yes,6,7,Poor
1343,8,78,Yes,5,7,Good
1344,4,86,No,8,9,Average
1345,2,42,No,7,9,Poor
1346,3,87,No,8,9,Average
1347,1,40,Yes,8,9,Poor
1348,8,66,Yes,7,7,Average
1349,3,87,Yes,7,6,Average
1350,7,63,No,6,1,Average
1351,5,83,No,5,0,Average
1352,5,58,Yes,4,5,Poor
1353,7,98,Yes,5,7,Distinction
1354,9,47,No,4,0,Poor
1355,5,94,No,7,2,Good
1356,1,83,No,8,0,Average
1357,1,86,Yes,5,9,Average
1358,2,41,No,8,8,Poor
1359,6,69,No,5,6,Average
1360,9,69,No,9,7,Average
1361,8,88,No,5,8,Distinction
1362,5,78,Yes,8,2,Average
1363,1,84,No,9,9,Average
1364,7,71,Yes,6,1,Average
1365,5,40,Yes,7,5,Poor
1366,6,77,No,6,4,Average
1367,7,52,No,6,3,Poor
1368,3,50,Yes,5,5,Poor
1369,3,49,No,7,5,Poor
1370,5,87,Yes,9,2,Good
1371,6,98,No,5,1,Distinction
1372,9,65,Yes,4,8,Average
1373,5,95,Yes,5,7,Good
1374,1,94,Yes,9,3,Good
1375,4,59,No,8,5,Poor
1376,5,56,Yes,5,2,Poor
1377,5,56,Yes,4,7,Poor
1378,7,43,No,5,2,Poor
1379,4,44,No,9,1,Poor
1380,1,99,Yes,4,6,Good
1381,5,62,Yes,7,2,Poor
1382,7,85,No,9,8,Good
1383,6,91,Yes,5,2,Good
1384,5,49,No,4,7,Poor
1385,4,85,No,9,1,Average
1386,2,67,No,7,8,Poor
1387,4,72,Yes,8,0,Average
1388,3,82,No,6,2,Average
1389,1,65,Yes,4,1,Poor
1390,8,94,Yes,8,6,Distinction
1391,5,89,No,7,4,Good
1392,4,87,No,8,7,Good
1393,8,68,No,5,1,Average
1394,7,66,No,6,7,Average
1395,2,57,Yes,4,6,Poor
1396,1,79,Yes,9,4,Average
1397,4,99,No,7,1,Good
1398,8,49,Yes,6,9,Poor
1399,2,97,No,7,6,Good
1400,3,81,Yes,8,9,Average
1401,1,44,Yes,7,3,Poor
1402,1,49,Yes,7,3,Poor
1403,3,89,No,8,7,Average
1404,5,60,Yes,8,5,Poor
1405,3,63,Yes,6,8,Poor
1406,1,77,Yes,4,1,Poor
1407,1,42,Yes,8,4,Poor
1408,8,79,No,6,5,Good
1409,2,70,Yes,7,7,Average
1410,3,80,No,7,3,Average
1411,2,76,No,9,6,Average
1412,3,41,Yes,5,6,Poor
1413,7,41,Yes,8,3,Poor
1414,1,78,No,6,0,Average
1415,8,88,No,9,2,Good
1416,2,81,No,6,1,Average
1417,3,83,Yes,4,2,Average
1418,9,73,Yes,9,4,Good
1419,7,81,No,6,0,Good
1420,4,59,No,8,4,Poor
1421,5,72,No,6,1,Average
1422,2,43,Yes,5,3,Poor
1423,8,84,Yes,7,5,Good
1424,4,83,No,7,8,Average
1425,9,50,Yes,9,9,Average
1426,5,81,No,6,5,Average
1427,9,86,Yes,6,9,Good
1428,4,44,No,6,1,Poor
1429,5,64,Yes,6,7,Poor
1430,9,88,Yes,5,4,Distinction
1431,8,99,Yes,8,8,Distinction
1432,3,76,Yes,5,9,Average
1433,1,73,Yes,5,8,Average
1434,3,48,Yes,5,3,Poor
1435,4,45,Yes,7,0,Poor
1436,2,57,No,5,8,Poor
1437,1,53,No,6,8,Poor
1438,7,58,No,5,7,Poor
1439,8,53,Yes,6,4,Poor
1440,7,79,Yes,9,4,Good
1441,5,56,Yes,8,9,Poor
1442,1,99,No,7,5,Good
1443,7,74,No,8,0,Good
1444,7,68,No,9,8,Average
1445,9,81,No,8,4,Good
1446,3,56,No,7,6,Poor
1447,9,98,No,6,7,Distinction
1448,1,82,Yes,9,4,Average
1449,1,47,No,9,2,Poor
1450,4,40,Yes,6,5,Poor
1451,9,84,No,6,6,Good
1452,6,92,No,7,3,Good
1453,3,75,Yes,5,8,Average
1454,1,46,Yes,4,3,Poor
1455,4,85,Yes,5,9,Good
1456,9,44,No,5,1,Poor
1457,3,63,No,8,8,Poor
1458,9,67,Yes,4,3,Average
1459,7,82,No,6,3,Good
1460,4,56,Yes,5,9,Poor
1461,3,76,No,7,0,Average
1462,5,59,No,5,1,Poor
1463,5,42,No,6,2,Poor
1464,3,76,Yes,5,6,Average
1465,9,65,No,9,8,Average
1466,4,54,Yes,8,4,Poor
1467,5,90,Yes,8,3,Good
1468,4,87,Yes,5,1,Good
1469,5,47,Yes,8,6,Poor
1470,7,52,Yes,7,5,Poor
1471,9,87,Yes,4,6,Distinction
1472,7,42,Yes,5,7,Poor
1473,5,40,Yes,7,8,Poor
1474,7,48,Yes,9,9,Poor
1475,5,70,No,7,4,Average
1476,3,80,Yes,7,4,Average
1477,7,93,No,9,3,Good
1478,2,65,Yes,6,2,Poor
1479,9,56,No,5,6,Average
1480,1,95,No,5,4,Average
1481,6,73,No,5,6,Average
1482,7,48,No,4,1,Poor
1483,8,95,No,7,8,Distinction
1484,9,90,No,5,8,Distinction
1485,2,52,Yes,8,8,Poor
1486,2,44,Yes,6,4,Poor
1487,5,80,Yes,9,9,Average
1488,5,52,Yes,9,8,Poor
1489,6,40,Yes,4,0,Poor
1490,3,64,Yes,9,1,Poor
1491,8,86,No,6,9,Good
1492,1,43,Yes,7,4,Poor
1493,6,75,No,9,4,Average
1494,4,91,No,9,5,Good
1495,1,49,No,8,7,Poor
1496,7,67,No,7,0,Average
1497,9,96,No,5,9,Distinction
1498,4,45,No,6,8,Poor
1499,4,66,Yes,9,3,Poor
1500,6,95,No,8,7,Good
1501,3,51,No,6,4,Poor
1502,6,91,Yes,4,0,Good
1503,7,87,Yes,8,8,Good
1504,3,42,Yes,4,7,Poor
1505,7,85,Yes,9,4,Good
1506,3,72,Yes,8,3,Average
1507,2,49,Yes,5,7,Poor
1508,4,70,Yes,6,8,Average
1509,8,54,No,6,6,Poor
1510,9,46,Yes,7,3,Poor
1511,7,75,No,8,6,Average
1512,1,53,Yes,8,5,Poor
1513,3,95,Yes,4,2,Good
1514,9,87,No,8,9,Distinction
1515,1,53,Yes,6,2,Poor
1516,9,42,Yes,8,0,Poor
1517,8,88,Yes,7,4,Good
1518,1,92,Yes,7,7,Average
1519,6,85,Yes,6,5,Good
1520,5,89,Yes,6,7,Good
1521,6,42,Yes,6,6,Poor
1522,5,61,No,8,1,Poor
1523,6,58,Yes,8,7,Poor
1524,5,74,No,5,3,Average
1525,5,51,No,9,4,Poor
1526,4,93,No,9,7,Good
1527,3,44,No,4,4,Poor
1528,3,49,No,8,4,Poor
1529,4,80,No,5,5,Average
1530,9,72,No,5,6,Good
1531,2,52,Yes,7,8,Poor
1532,9,74,Yes,8,6,Good
1533,1,90,Yes,5,5,Average
1534,1,71,No,7,9,Poor
1535,5,50,Yes,4,3,Poor
1536,6,87,No,7,9,Good
1537,6,77,No,4,1,Average
1538,3,63,Yes,9,8,Poor
1539,7,74,No,9,9,Average
1540,9,58,No,6,4,Average
1541,8,45,Yes,6,4,Poor
1542,6,79,No,7,2,Average
1543,8,93,Yes,6,2,Good
1544,5,84,No,8,0,Good
1545,8,83,No,7,4,Good
1546,4,81,Yes,5,2,Average
1547,8,74,Yes,8,1,Average
1548,2,43,Yes,7,8,Poor
1549,5,72,No,9,9,Average
1550,9,52,No,4,5,Poor
1551,4,95,Yes,6,2,Good
1552,6,75,Yes,6,6,Average
1553,1,93,Yes,6,8,Average
1554,9,82,No,7,8,Good
1555,1,58,No,8,0,Poor
1556,5,82,Yes,4,1,Average
1557,4,51,Yes,6,7,Poor
1558,3,50,Yes,8,0,Poor
1559,6,45,No,5,2,Poor
1560,2,51,Yes,9,6,Poor
1561,3,66,Yes,5,7,Poor
1562,5,80,Yes,4,4,Average
1563,9,64,No,6,1,Average
1564,2,81,No,5,2,Average
1565,8,42,Yes,9,8,Poor
1566,2,42,No,8,9,Poor
1567,5,59,Yes,8,6,Poor
1568,7,67,Yes,5,0,Average
1569,8,62,Yes,6,2,Average
1570,1,87,Yes,9,8,Average
1571,6,42,No,4,6,Poor
1572,1,81,Yes,6,1,Average
1573,2,63,Yes,7,5,Poor
1574,1,82,No,5,8,Average
1575,5,79,Yes,7,3,Average
1576,9,45,No,5,9,Poor
1577,6,59,Yes,4,1,Poor
1578,1,50,Yes,6,2,Poor
1579,1,71,Yes,9,6,Average
1580,2,99,Yes,6,3,Good
1581,9,66,No,5,6,Average
1582,3,60,Yes,8,4,Poor
1583,1,83,No,7,7,Average
1584,5,87,No,9,7,Good
1585,7,89,No,9,4,Good
1586,6,52,Yes,6,6,Poor
1587,1,61,No,6,5,Poor
1588,5,74,No,5,7,Average
1589,5,86,No,8,8,Good
1590,6,61,Yes,7,4,Poor
1591,3,67,Yes,8,6,Average
1592,5,60,No,9,0,Poor
1593,7,85,No,8,7,Good
1594,5,57,Yes,5,2,Poor
1595,5,70,No,8,0,Average
1596,5,99,No,7,5,Distinction
1597,3,85,No,9,7,Average
1598,1,76,Yes,4,2,Poor
1599,5,60,No,9,0,Poor
1600,9,53,No,4,2,Poor
1601,1,64,Yes,7,4,Poor
1602,3,66,No,9,7,Poor
1603,4,79,Yes,9,8,Average
1604,1,99,Yes,9,8,Good
1605,1,99,Yes,9,3,Good
1606,8,62,No,5,7,Average
1607,2,70,No,6,4,Poor
1608,8,86,No,9,2,Good
1609,7,99,No,5,4,Distinction
1610,2,68,No,7,1,Poor
1611,6,86,No,9,5,Good
1612,6,69,No,8,0,Average
1613,3,90,No,9,5,Good
1614,2,65,Yes,9,4,Poor
1615,1,59,No,4,8,Poor
1616,6,77,No,8,6,Average
1617,5,58,Yes,9,5,Poor
1618,9,66,No,9,6,Average
1619,1,64,Yes,9,9,Poor
1620,7,79,No,5,4,Average
1621,5,77,No,7,0,Average
1622,5,91,Yes,4,8,Good
1623,2,62,Yes,9,4,Poor
1624,3,68,No,7,3,Poor
1625,7,54,Yes,4,5,Poor
1626,6,98,No,4,4,Good
1627,2,42,No,4,0,Poor
1628,6,49,No,9,1,Poor
1629,2,54,No,5,3,Poor
1630,2,95,No,9,7,Good
1631,2,55,No,9,4,Poor
1632,3,56,Yes,7,6,Poor
1633,2,58,Yes,6,1,Poor
1634,4,50,Yes,6,7,Poor
1635,9,87,No,6,4,Distinction
1636,6,44,Yes,7,3,Poor
1637,1,44,No,8,8,Poor
1638,8,97,Yes,7,5,Distinction
1639,7,53,No,4,3,Poor
1640,3,89,No,9,7,Good
1641,1,65,No,8,2,Poor
1642,5,47,No,4,9,Poor
1643,4,44,No,9,1,Poor
1644,8,46,Yes,9,6,Poor
1645,1,55,No,4,3,Poor
1646,1,94,Yes,7,3,Average
1647,4,53,No,6,9,Poor
1648,8,76,No,8,8,Good
1649,5,95,No,9,1,Good
1650,2,80,Yes,5,0,Average
1651,6,43,No,9,6,Poor
1652,5,75,Yes,6,7,Average
1653,2,87,No,9,2,Average
1654,3,95,Yes,5,1,Good
1655,9,56,Yes,7,3,Average
1656,7,86,Yes,9,1,Good
1657,7,75,No,8,1,Average
1658,6,45,No,7,4,Poor
1659,8,55,Yes,5,9,Poor
1660,4,68,No,4,4,Average
1661,8,75,No,9,7,Average
1662,4,77,No,7,8,Average
1663,8,76,Yes,9,1,Good
1664,9,87,Yes,8,0,Distinction
1665,3,96,No,9,2,Good
1666,3,87,Yes,7,5,Good
1667,2,49,No,6,4,Poor
1668,3,80,No,7,7,Average
1669,3,75,Yes,5,7,Average
1670,5,68,Yes,7,1,Average
1671,5,53,No,8,8,Poor
1672,2,43,No,7,3,Poor
1673,6,83,No,7,0,Average
1674,5,95,Yes,8,1,Good
1675,6,81,Yes,7,5,Good
1676,1,75,No,8,4,Poor
1677,5,89,No,5,6,Good
1678,9,84,Yes,8,8,Distinction
1679,2,52,No,5,5,Poor
1680,1,85,Yes,5,5,Average
1681,9,57,Yes,8,1,Average
1682,9,72,No,7,6,Good
1683,9,60,No,9,1,Average
1684,6,55,Yes,6,6,Poor
1685,8,54,No,9,7,Average
1686,1,93,Yes,8,0,Average
1687,4,96,Yes,7,8,Good
1688,1,44,Yes,5,7,Poor
1689,8,45,No,4,8,Poor
1690,1,77,No,6,4,Average
1691,3,42,No,9,3,Poor
1692,4,87,Yes,7,0,Good
1693,8,51,Yes,6,8,Poor
1694,6,75,Yes,4,3,Average
1695,7,72,Yes,4,3,Average
1696,8,75,No,4,3,Average
1697,2,72,No,9,1,Average
1698,8,70,No,8,3,Average
1699,3,60,Yes,6,1,Poor
1700,7,66,Yes,8,7,Average
1701,3,66,No,4,6,Poor
1702,7,47,Yes,7,9,Poor
1703,2,95,No,4,1,Good
1704,6,76,Yes,8,1,Average
1705,3,71,Yes,4,1,Poor
1706,3,65,Yes,4,0,Poor
1707,9,41,Yes,8,5,Poor
1708,7,51,Yes,8,5,Poor
1709,5,61,No,7,0,Poor
1710,7,56,No,8,0,Poor
1711,9,46,No,7,5,Poor
1712,1,82,Yes,5,5,Average
1713,7,43,No,5,3,Poor
1714,6,76,No,8,2,Average
1715,9,77,Yes,4,8,Good
1716,1,71,Yes,6,5,Average
1717,4,50,No,4,0,Poor
1718,9,40,No,8,2,Poor
1719,4,64,No,7,0,Poor
1720,3,81,No,4,2,Average
1721,9,91,No,5,1,Distinction
1722,2,63,Yes,9,4,Poor
1723,4,92,No,8,2,Good
1724,6,82,No,4,6,Average
1725,2,95,No,9,7,Good
1726,8,56,No,4,6,Average
1727,8,47,No,7,1,Poor
1728,1,98,No,7,9,Good
1729,3,84,Yes,7,9,Average
1730,9,66,Yes,9,6,Average
1731,5,91,Yes,6,9,Good
1732,6,57,No,9,2,Poor
1733,4,66,No,8,6,Poor
1734,2,61,Yes,8,0,Poor
1735,8,55,No,5,1,Poor
1736,6,41,No,5,9,Poor
1737,5,44,No,8,0,Poor
1738,9,57,Yes,4,8,Average
1739,1,42,Yes,8,1,Poor
1740,5,66,Yes,6,1,Average
1741,6,93,No,5,5,Good
1742,5,56,Yes,5,6,Poor
1743,6,55,Yes,9,1,Poor
1744,6,45,Yes,5,3,Poor
1745,7,90,No,8,2,Good
1746,4,46,Yes,5,4,Poor
1747,8,89,Yes,5,8,Good
1748,7,53,No,9,1,Poor
1749,9,77,Yes,8,4,Good
1750,7,79,No,4,7,Average
1751,3,54,No,5,5,Poor
1752,3,86,Yes,5,3,Average
1753,8,86,Yes,5,9,Good
1754,5,87,Yes,6,7,Good
1755,4,72,No,8,2,Average
1756,8,82,Yes,5,3,Good
1757,6,66,Yes,6,8,Average
1758,2,68,Yes,4,4,Poor
1759,4,96,No,4,5,Good
1760,4,76,No,9,1,Average
1761,6,44,No,9,8,Poor
1762,6,68,Yes,9,7,Average
1763,1,71,Yes,6,6,Poor
1764,8,99,No,4,8,Distinction
1765,6,92,Yes,9,4,Distinction
1766,3,45,Yes,7,4,Poor
1767,9,41,No,9,8,Poor
1768,2,45,No,4,4,Poor
1769,8,85,No,7,8,Good
1770,3,82,Yes,6,0,Average
1771,5,43,Yes,7,9,Poor
1772,6,95,Yes,4,9,Good
1773,6,68,No,5,7,Average
1774,4,98,No,7,2,Good
1775,3,64,Yes,4,7,Poor
1776,4,48,No,9,4,Poor
1777,1,95,No,5,1,Average
1778,4,42,Yes,6,8,Poor
1779,1,65,No,6,3,Poor
1780,1,87,Yes,8,6,Average
1781,6,82,No,6,7,Average
1782,5,66,Yes,8,6,Average
1783,4,75,No,6,5,Average
1784,3,71,Yes,6,6,Average
1785,1,40,No,6,3,Poor
1786,6,96,No,8,9,Distinction
1787,2,92,No,9,0,Average
1788,8,93,No,8,4,Distinction
1789,5,55,No,7,7,Poor
1790,7,90,Yes,4,9,Good
1791,2,87,Yes,4,5,Average
